vehicle_id,step_type,destination_time,destination_long,destination_lat,soc,routes
1,init,2025-07-01T04:54:12.076Z,145.13158613488085,-37.91347754476844,80,"[[145.13158613488085,-37.91347754476844]]"
1,trip,2025-07-01T05:02:12.076Z,145.15069689551848,-37.90985898728209,75,"[[145.13158613488085,-37.91347754476844],[145.13169230577338,-37.91499540162098],[145.14004441597808,-37.91613987987011],[145.14301720096606,-37.90137195181311],[145.16113703327437,-37.90385674445636],[145.15873049304602,-37.918540434934656],[145.14945823510715,-37.917284340312506],[145.15069689551848,-37.90985898728209]]"
1,trip,2025-07-01T05:11:12.076Z,145.14575140549502,-37.886786392053075,72,"[[145.15069689551848,-37.90985898728209],[145.1600613006219,-37.91076394798581],[145.16200105026877,-37.90330707771854],[145.17994544327053,-37.905588214369814],[145.18273679329334,-37.89095624822307],[145.16379548956928,-37.88898936435982],[145.14575140549502,-37.886786392053075]]"
1,trip,2025-07-01T05:15:12.076Z,145.13804515270974,-37.88798677167385,70,"[[145.14575140549502,-37.886786392053075],[145.14083749936668,-37.88617696106387],[145.13976111992898,-37.887235767228425],[145.13944912588923,-37.886915664644725],[145.13804515270974,-37.88798677167385]]"
1,stop,2025-07-01T05:30:12.076Z,145.13804515270974,-37.88798677167385,70,"[[145.13804515270974,-37.88798677167385]]"
1,trip,2025-07-01T05:36:12.076Z,145.12629592518113,-37.88837618301963,67,"[[145.13804515270974,-37.88798677167385],[145.13548680158289,-37.89025820571225],[145.13115008442836,-37.889605714218995],[145.13052609634886,-37.89270807498539],[145.12579938664504,-37.892203334717436],[145.1266721899778,-37.888425674910906],[145.12629592518113,-37.88837618301963]]"
1,cdc,2025-07-01T05:56:12.076Z,145.12629592518113,-37.88837618301963,80,"[[145.12629592518113,-37.88837618301963]]"
1,trip,2025-07-01T06:13:12.076Z,145.12489086959064,-37.893120765981436,74,"[[145.12629592518113,-37.88837618301963],[145.1267552702779,-37.88840816999576],[145.12726865597503,-37.8848042165939],[145.13202422874406,-37.88527338027759],[145.13251059414114,-37.88439902737076],[145.12410728089526,-37.88348201194917],[145.1238100575973,-37.88427107241608],[145.11727114503947,-37.88352466408246],[145.11708200294035,-37.883972509990464],[145.11540674435142,-37.885209403587616],[145.1149473992544,-37.88836552069102],[145.1156499270497,-37.888450819275725],[145.11489335865502,-37.89303547280701],[145.11627139394608,-37.89320605905714],[145.1197299923238,-37.892374447354086],[145.12489086959064,-37.893120765981436]]"
2,init,2025-07-01T04:54:23.658Z,145.1402213674656,-37.91613987987011,66,"[[145.1402213674656,-37.91613987987011]]"
2,trip,2025-07-01T05:06:23.658Z,145.14425109346467,-37.894966759459706,60,"[[145.1402213674656,-37.91613987987011],[145.13904024087958,-37.92193136766226],[145.1563402714626,-37.93195836500772],[145.15734770296223,-37.92549302603607],[145.162975423754,-37.9260683546665],[145.16610193530525,-37.92395879434776],[145.16436498444352,-37.92110942200166],[145.16485133068477,-37.91935590722278],[145.17489090666473,-37.920698445726224],[145.15581918620342,-37.9055729215423],[145.14883664373934,-37.89781714441041],[145.14425109346467,-37.894966759459706]]"
3,init,2025-07-01T04:54:45.928Z,145.12153529039887,-37.91645739964366,73,"[[145.12153529039887,-37.91645739964366]]"
3,trip,2025-07-01T05:04:45.928Z,145.11664726547198,-37.91327667800284,67,"[[145.12153529039887,-37.91645739964366],[145.1218240917642,-37.91411777572352],[145.1264449136319,-37.914269639980695],[145.1220166260089,-37.91100448936174],[145.12326809859783,-37.90637228289816],[145.1277926533434,-37.90709371127387],[145.12947732798253,-37.899651268170956],[145.13039186564382,-37.89270177707193],[145.12567477665402,-37.89224604981573],[145.12447143762594,-37.89915761012419],[145.10633821321952,-37.89709818831822],[145.1055450407622,-37.900668682958624],[145.1033054950052,-37.91141593056761],[145.11664726547198,-37.91327667800284]]"
